id,resource_type,locator,translatable_string
fc1d2402-7444-4c96-b46d-7eb63e404dca,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_769""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Select a valid option:"""
dbd337af-fa4e-446d-a669-5960055bae06,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_144""].output.generic[0].values[0].text_expression","""Enter Your Netbanking ID"""
27c93df8-59be-4e43-854f-e0e9ad8bfc75,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_144""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Enter a number."""
d9d0150c-bb51-4cac-99dd-ad5aa1de20f5,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_192""].output.generic[0].values[0].text_expression","""with the netbanking ID below services are available"""
5043e425-5829-4a36-90c8-00b0082a9ed9,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_192""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Select a valid option:"""
d46c9f19-c559-4a05-82d7-537824bf3ecc,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_399""].output.generic[0].values[0].text_expression","""Enter the bank A/C Number"""
4c79f601-a9a3-4ead-92e4-c051ed5e1f82,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_399""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Enter a number."""
2cf95ba7-bec9-4d2b-a8c5-0f12fd74641c,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_312""].output.generic[0].values[0].text_expression","""Below services are given below"""
1c0f2d16-5872-4291-99c8-7e7898b1cb84,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_312""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Select a valid option:"""
cc3b3626-5840-4e70-be4f-a56c10e56df8,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_308""].output.generic[0].values[0].text_expression","""Enter Your A/C number"""
f3c98cb8-22d4-4d3d-8839-08ea831d523c,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_308""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Enter a number."""
2db32ba3-e236-4ae7-87f5-ecc331622a9b,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_966""].output.generic[0].values[0].text_expression","""The Given Below Services are"""
cc3a422f-46b4-40fe-ba79-1f7a40b8bd90,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_966""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Select a valid option:"""
1c8ba5e0-a0f4-4bff-a71a-de6ff49efe4f,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_289""].output.generic[0].values[0].text_expression","""Please Enter Your A/C number"""
8e9674ac-da53-4676-9f2e-d63ef105d4fb,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_289""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Enter a number."""
254dc338-8501-498e-8a02-ca1c330575e7,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_118""].output.generic[0].values[0].text_expression","""The given services are below"""
97982f94-325b-4d51-beec-38ab216f0c22,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_118""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""I didn't catch that. Select a valid option:"""
a78be4ab-ebd1-4772-9957-7be046f60f06,ACTION_TITLE,"workspace.actions[action=""action_13687""].title","""Banking Bot"""
2dac8f0e-0909-48ac-a033-520cebea2f26,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_FAILURE_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_failure.generic[0].values[0].text_expression.concat,"""I'm sorry, I did not catch that, please confirm."""
425fe390-4a5c-4af4-8d44-87aee35024fd,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_request.generic[0].values[0].text_expression.concat,"""Do you want to continue with the previous topic: ${sys_var(digressed_from)}?"""
15bfb78f-a8e4-4aa1-b090-de367985422c,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[0].label,"""Yes"""
c789e543-30e5-406d-8222-a12399f1863c,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[1].label,"""No"""
f24716f2-7177-4f17-bd72-b87b88a25e3f,SYS_SETTINGS_DISAMBIGUATION_NONE_OF_ABOVE_PROMPT,workspace.system_settings.disambiguation.none_of_the_above_prompt,"""None of the above"""
5a97e813-bfef-4dc3-b1e8-4b4b2690cd15,SYS_SETTINGS_DISAMBIGUATION_PROMPT,workspace.system_settings.disambiguation.prompt,"""Did you mean:"""
39809d64-338a-406e-8b14-b11023fd1919,SYS_SETTINGS_DISAMBIGUATION_SINGLE_ANSWER_CLARIFICATION_PROMPT,workspace.system_settings.disambiguation.single_answer_clarification_prompt,"""Something else"""
